total_return,sharpe,max_dd,ticker,hurst,vr_p,signals
0.0,0.0,0.0,TEL,0.35,0.2,0
0.0,0.0,0.0,TEL,0.35,0.15,0
0.0,0.0,0.0,TEL,0.35,0.1,0
0.05130941306849124,3.850133687518487,0.0,TEL,0.4,0.2,1
0.0,0.0,0.0,TEL,0.4,0.15,0
0.05130941306849124,3.850133687518487,0.0,TEL,0.4,0.1,1
0.0,0.0,0.0,TEL,0.45,0.2,0
0.0,0.0,0.0,TEL,0.45,0.15,0
0.0,0.0,0.0,TEL,0.45,0.1,0
-0.017354609088374273,-3.113578475485706,-0.02099742450849751,KEY,0.35,0.2,4
-0.017354609088374273,-3.113578475485706,-0.02099742450849751,KEY,0.35,0.15,4
0.0,0.0,0.0,KEY,0.35,0.1,0
-0.017354609088374273,-3.113578475485706,-0.02099742450849751,KEY,0.4,0.2,4
0.0,0.0,0.0,KEY,0.4,0.15,0
0.0,0.0,0.0,KEY,0.4,0.1,0
0.0,0.0,0.0,KEY,0.45,0.2,0
-0.017354609088374273,-3.113578475485706,-0.02099742450849751,KEY,0.45,0.15,4
0.0,0.0,0.0,KEY,0.45,0.1,0
0.0,0.0,0.0,SONY,0.35,0.2,0
0.0,0.0,0.0,SONY,0.35,0.15,0
0.0,0.0,0.0,SONY,0.35,0.1,0
0.0,0.0,0.0,SONY,0.4,0.2,0
0.0,0.0,0.0,SONY,0.4,0.15,0
0.0,0.0,0.0,SONY,0.4,0.1,0
0.0,0.0,0.0,SONY,0.45,0.2,0
0.0,0.0,0.0,SONY,0.45,0.15,0
0.0,0.0,0.0,SONY,0.45,0.1,0
0.0,0.0,0.0,TOY,0.35,0.2,0
0.0,0.0,0.0,TOY,0.35,0.15,0
0.0,0.0,0.0,TOY,0.35,0.1,0
0.0,0.0,0.0,TOY,0.4,0.2,0
0.0,0.0,0.0,TOY,0.4,0.15,0
0.0,0.0,0.0,TOY,0.4,0.1,0
0.0,0.0,0.0,TOY,0.45,0.2,0
0.0,0.0,0.0,TOY,0.45,0.15,0
0.0,0.0,0.0,TOY,0.45,0.1,0
0.0,0.0,0.0,FRT,0.35,0.2,0
0.0,0.0,0.0,FRT,0.35,0.15,0
0.0,0.0,0.0,FRT,0.35,0.1,0
0.001497648169185073,0.21381351914551636,-0.05982612899039341,FRT,0.4,0.2,9
0.001497648169185073,0.21381351914551636,-0.05982612899039341,FRT,0.4,0.15,9
0.0,0.0,0.0,FRT,0.4,0.1,0
0.001497648169185073,0.21381351914551636,-0.05982612899039341,FRT,0.45,0.2,9
0.0,0.0,0.0,FRT,0.45,0.15,0
0.0,0.0,0.0,FRT,0.45,0.1,0
0.0,0.0,0.0,AJI,0.35,0.2,0
0.0,0.0,0.0,AJI,0.35,0.15,0
0.0,0.0,0.0,AJI,0.35,0.1,0
0.0,0.0,0.0,AJI,0.4,0.2,0
0.0,0.0,0.0,AJI,0.4,0.15,0
0.0,0.0,0.0,AJI,0.4,0.1,0
0.0,0.0,0.0,AJI,0.45,0.2,0
0.0,0.0,0.0,AJI,0.45,0.15,0
0.0,0.0,0.0,AJI,0.45,0.1,0
-0.031761172227443124,-4.188714247748077,-0.04132825132364093,MHI,0.35,0.2,7
-0.031761172227443124,-4.188714247748077,-0.04132825132364093,MHI,0.35,0.15,7
0.0,0.0,0.0,MHI,0.35,0.1,0
-0.031761172227443124,-4.188714247748077,-0.04132825132364093,MHI,0.4,0.2,7
-0.031761172227443124,-4.188714247748077,-0.04132825132364093,MHI,0.4,0.15,7
-0.031761172227443124,-4.188714247748077,-0.04132825132364093,MHI,0.4,0.1,7
-0.031761172227443124,-4.188714247748077,-0.04132825132364093,MHI,0.45,0.2,7
-0.031761172227443124,-4.188714247748077,-0.04132825132364093,MHI,0.45,0.15,7
0.0,0.0,0.0,MHI,0.45,0.1,0
-0.01731570280768513,-1.2818069591156276,-0.049200101719244715,HIT,0.35,0.2,12
0.0,0.0,0.0,HIT,0.35,0.15,0
-0.01731570280768513,-1.2818069591156276,-0.049200101719244715,HIT,0.35,0.1,12
-0.01731570280768513,-1.2818069591156276,-0.049200101719244715,HIT,0.4,0.2,12
0.0,0.0,0.0,HIT,0.4,0.15,0
0.0,0.0,0.0,HIT,0.4,0.1,0
0.0,0.0,0.0,HIT,0.45,0.2,0
0.0,0.0,0.0,HIT,0.45,0.15,0
-0.01731570280768513,-1.2818069591156276,-0.049200101719244715,HIT,0.45,0.1,12
0.0,0.0,0.0,KHI,0.35,0.2,0
0.0,0.0,0.0,KHI,0.35,0.15,0
-0.016430376537594715,-1.2230451730346341,-0.05773386417160642,KHI,0.35,0.1,9
0.0,0.0,0.0,KHI,0.4,0.2,0
0.0,0.0,0.0,KHI,0.4,0.15,0
-0.016430376537594715,-1.2230451730346341,-0.05773386417160642,KHI,0.4,0.1,9
0.0,0.0,0.0,KHI,0.45,0.2,0
-0.016430376537594715,-1.2230451730346341,-0.05773386417160642,KHI,0.45,0.15,9
0.0,0.0,0.0,KHI,0.45,0.1,0
0.0,0.0,0.0,TEP,0.35,0.2,0
0.0,0.0,0.0,TEP,0.35,0.15,0
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.35,0.1,17
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.4,0.2,17
0.0,0.0,0.0,TEP,0.4,0.15,0
0.0,0.0,0.0,TEP,0.4,0.1,0
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.45,0.2,17
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.45,0.15,17
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.45,0.1,17
0.0,0.0,0.0,OSG,0.35,0.2,0
0.0,0.0,0.0,OSG,0.35,0.15,0
-0.0784119498166097,-9.501703839366439,-0.0816023649795814,OSG,0.35,0.1,17
0.0,0.0,0.0,OSG,0.4,0.2,0
-0.0784119498166097,-9.501703839366439,-0.0816023649795814,OSG,0.4,0.15,17
0.0,0.0,0.0,OSG,0.4,0.1,0
0.0,0.0,0.0,OSG,0.45,0.2,0
0.0,0.0,0.0,OSG,0.45,0.15,0
-0.0784119498166097,-9.501703839366439,-0.0816023649795814,OSG,0.45,0.1,17
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.35,0.2,16
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.35,0.15,16
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.35,0.1,16
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.4,0.2,16
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.4,0.15,16
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.4,0.1,16
